theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,pure_play,1.0,36.375,very_high,sustained_narrative,-0.531536435145829,0,23,0.0,0,0,True,397.6700134277344,-1.1901749562796993,16.45144068638771,20.64090298308898,6.468833526484243,-7.502729952652043,-1.8050267569478917,extended,30.0,30.0,37.5,87.5,30.0,35.0,35.0,50.0,35.0,60.0,43.0,77.5,37.0,60.75,33.675000000000004,Watch Only
AI Infrastructure,SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,27.09000015258789,-6.8431904275760065,20.34651211522249,-6.939197579560874,10.363904955319025,-21.64223529064657,-55.378025759983096,confirming,30.0,30.0,37.5,57.49999999999999,30.0,45.0,45.0,30.0,45.0,5.0,37.0,53.5,39.0,21.5,33.625,Watch Only
AI Infrastructure,GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,2,300,0.006666666666666667,0,1,True,383.2200012207031,11.947882981244252,29.94913840358395,13.280939477365283,19.966531243680485,51.8052587385146,0.0,extended,70.0,70.0,37.5,27.500000000000004,72.5,70.0,70.0,100.0,70.0,90.0,55.0,29.500000000000004,76.5,84.0,31.7,Watch Only
AI Infrastructure,ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,172.6999969482422,-2.379744857112842,38.32599043566625,21.842803905190532,28.343383275762783,-2.8383649168251313,-2.830134980145893,overheated,30.0,30.0,37.5,57.49999999999999,30.0,85.0,85.0,55.00000000000001,85.0,50.0,37.0,53.5,68.0,80.75,29.024999999999995,Watch Only: Price Extended
AI Infrastructure,MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,164.9499969482422,0.3895072723254067,54.6552052816603,109.1137396197921,44.672598121756835,-27.438217454957837,-0.36844685875020433,overheated,30.0,30.0,37.5,57.49999999999999,30.0,95.0,95.0,20.0,95.0,65.0,37.0,53.5,67.0,89.0,27.124999999999996,Watch Only: Price Extended
AI Infrastructure,VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,328.30999755859375,1.4994145278054205,26.57979093158329,76.38207172977135,16.597183771679823,5.213783149918827,-0.05479396058699626,extended,30.0,30.0,37.5,57.49999999999999,30.0,55.00000000000001,55.00000000000001,60.0,55.00000000000001,75.0,37.0,53.5,51.0,73.5,26.224999999999994,Watch Only
AI Infrastructure,DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,enabler,0.8,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,210.1699981689453,-2.7395984401279105,24.465873570326057,84.21906253947624,14.48326641042259,-37.041233296777754,-2.7395984401279105,extended,30.0,30.0,37.5,57.49999999999999,30.0,50.0,50.0,10.0,50.0,55.00000000000001,37.0,53.5,38.0,66.25,24.424999999999997,Watch Only
AI Infrastructure,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,adopter,0.55,36.375,very_high,sustained_narrative,-0.531536435145829,0,300,0.0,0,0,True,268.260009765625,1.6174929691307627,27.397065315470037,12.10196671314019,17.41445815556657,34.02077504161587,0.0,extended,30.0,30.0,37.5,27.500000000000004,30.0,60.0,60.0,85.0,60.0,90.0,31.0,29.500000000000004,59.0,79.5,18.625000000000007,Watch Only
AI Infrastructure,SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software,sympathetic,0.35,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,141.0,0.48460136850625446,-7.91535756509899,-26.829267133890212,-17.897964725002456,-25.318137823180177,-49.123189526108746,lagging,30.0,30.0,37.5,7.5,30.0,5.0,5.0,25.0,5.0,10.0,27.0,13.5,14.0,4.75,16.725,Watch Only
AI Infrastructure,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,sympathetic,0.35,36.375,very_high,sustained_narrative,-0.531536435145829,0,0,0.0,0,0,True,144.07000732421875,0.6848913351104935,-1.6519885850221017,-1.71907297675572,-11.634595744925567,-37.730312268482436,-30.46142850787922,lagging,30.0,30.0,37.5,7.5,30.0,10.0,10.0,5.0,10.0,20.0,27.0,13.5,13.0,9.5,15.525,Watch Only
