theme,ticker,company_name,sector,industry,bucket_type,bucket_weight,theme_attention_score,theme_adjusted_confidence,theme_narrative_type,theme_log_change_7d_30d,theme_news_count_7d,ticker_total_news_7d,theme_news_share_7d,matched_item_count,source_breadth_7d,price_data_ok,last_price,price_return_5d,price_return_1m,price_return_3m,relative_return_1m_spy,volume_change_20d,distance_from_52w_high,price_state,theme_news_share_pct,theme_news_count_pct,matched_item_count_pct,bucket_weight_pct,source_breadth_pct,momentum_1m_pct,relative_strength_pct,volume_spike_pct,overextension_pct,near_high_risk_pct,exposure_score,purity_score,confirmation_score,risk_penalty,beneficiary_score,beneficiary_tier
AI Infrastructure,SMCI,Super Micro Computer Inc. Common Stock,Technology,Computer Manufacturing,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,27.80500030517578,2.036698367617551,26.09977898975395,-6.285809795491981,16.356708721192035,-26.34048262095544,-54.20029529816406,confirming,30.0,30.0,40.0,57.49999999999999,30.0,45.0,45.0,45.0,45.0,5.0,37.5,54.0,42.0,21.5,34.7,Watch Only
AI Infrastructure,AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,1,247,0.004048582995951417,1,1,True,275.8800048828125,6.230262578071288,29.648956053983365,15.614789425893004,19.90588578542145,28.818413110717643,0.0,extended,60.0,62.5,80.0,27.500000000000004,70.0,65.0,65.0,85.0,65.0,85.0,58.125,38.0,70.0,80.5,34.15,Watch Only
AI Infrastructure,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors,pure_play,1.0,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,7,0.0,0,0,True,398.2200012207031,1.498701365574906,16.520362196208318,18.940315243668238,6.777291927646402,-27.858020283123828,-1.669220599100929,extended,30.0,30.0,40.0,87.5,30.0,35.0,35.0,35.0,35.0,55.00000000000001,43.5,78.0,34.0,59.5,33.50000000000001,Watch Only
AI Infrastructure,ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,173.5800018310547,5.0154328039514695,37.48911036123144,24.52830374568846,27.746040092669524,-12.478864095072762,-2.3349991539111548,overheated,30.0,30.0,40.0,57.49999999999999,30.0,80.0,80.0,60.0,80.0,50.0,37.5,54.0,66.0,78.5,29.299999999999997,Watch Only: Price Extended
AI Infrastructure,VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,336.1650085449219,10.207195977518468,29.928881177485668,76.83146041261912,20.185810908923752,-19.775954955393093,0.0,extended,30.0,30.0,40.0,57.49999999999999,30.0,70.0,70.0,50.0,70.0,85.0,37.5,54.0,58.0,82.75,26.45,Watch Only
AI Infrastructure,MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,170.8000030517578,11.466428123812179,56.04555922086718,126.21856313897473,46.30248895230527,-50.45104153598648,0.0,overheated,30.0,30.0,40.0,57.49999999999999,30.0,90.0,90.0,5.0,90.0,85.0,37.5,54.0,61.0,91.75,25.4,Watch Only: Price Extended
AI Infrastructure,DELL,Dell Technologies Inc. Class C Common Stock ,Technology,Computer Manufacturing,enabler,0.8,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,214.6199951171875,4.219881877569875,24.31231917585508,83.76786459591207,14.569248907293165,-47.74748231168253,-0.6802726852771834,extended,30.0,30.0,40.0,57.49999999999999,30.0,40.0,40.0,10.0,40.0,65.0,37.5,54.0,32.0,64.25,23.65,Watch Only
AI Infrastructure,GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,adopter,0.55,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,28,0.0,0,0,True,388.57000732421875,11.089830373462117,29.527657579720668,14.46338503815159,19.784587311158752,38.8062098727542,0.0,extended,30.0,30.0,40.0,27.500000000000004,30.0,60.0,60.0,90.0,60.0,85.0,31.5,30.000000000000004,60.0,78.25,19.450000000000003,Watch Only
AI Infrastructure,PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,sympathetic,0.35,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,136.3699951171875,-3.4069966058433487,-7.814505597880917,-13.62427736279268,-17.557575866442832,-11.73308728644652,-34.17800949023358,lagging,30.0,30.0,40.0,7.5,30.0,5.0,5.0,65.0,5.0,20.0,27.5,14.0,22.0,7.25,18.55,Watch Only
AI Infrastructure,SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software,sympathetic,0.35,39.78125,very_high,sustained_narrative,-0.2105705870290629,0,0,0.0,0,0,True,142.72120666503906,0.11308158614344865,-4.457623510587794,-17.616484565009582,-14.20069377914971,-26.60982785145728,-48.50212920494853,lagging,30.0,30.0,40.0,7.5,30.0,10.0,10.0,40.0,10.0,10.0,27.5,14.0,20.0,7.0,18.1,Watch Only
